hiblooms_id,boletin_nombre,ambito,capacidad_hm3,volumen_hm3,fecha,pct
ALLOZ,Alloz,Ebro,66.0,33.0,2026-09-08,50.0
BARASONA,Barasona,Ebro,85.0,28.0,2026-09-08,32.9
BELLUS,Bellús,Júcar,69.0,12.0,2026-09-08,17.4
CANELLES,Canelles,Ebro,679.0,349.0,2026-09-08,51.4
CUEVA FORADADA,Cueva Foradada,Ebro,22.0,16.0,2026-09-08,72.7
EBRO,Ebro,Ebro,541.0,331.0,2026-09-08,61.2
ESTANCA ALCAÑIZ (BALSA),Alcañiz (Estanca),Ebro,7.0,6.0,2026-09-08,85.7
EUGUI,Eúgui,Ebro,21.0,12.0,2026-09-08,57.1
FLIX,,,,,,
GALLIPUEN,,,,,,
GONZALEZ LACASA,González Lacasa,Ebro,33.0,11.0,2026-09-08,33.3
ITOIZ,Itoiz,Ebro,417.0,165.0,2026-09-08,39.6
"LOTETA, LA",Loteta (La),Ebro,104.0,16.0,2026-09-08,15.4
MANSILLA,Mansilla,Ebro,68.0,30.0,2026-09-08,44.1
MEQUINENZA,Mequinenza,Ebro,1373.0,865.0,2026-09-08,63.0
MEZALOCHA,,,,,,
MONEVA,Moneva,Ebro,8.0,5.0,2026-09-08,62.5
OLIANA,Oliana,Ebro,84.0,51.0,2026-09-08,60.7
"PEÑA, LA","Peña, La",Ebro,15.0,8.0,2026-09-08,53.3
RIALB,Rialb,Ebro,404.0,236.0,2026-09-08,58.4
RIBARROJA,Ribarroja,Ebro,210.0,201.0,2026-09-08,95.7
SANTOLEA,Santolea,Ebro,5.0,2.0,2026-09-08,40.0
SOBRON,Sobrón,Ebro,20.0,16.0,2026-09-08,80.0
"SOTONERA, LA",Sotonera,Ebro,189.0,60.0,2026-09-08,31.7
TERRADETS,Terradets,Ebro,33.0,31.0,2026-09-08,93.9
"TORCAS, LAS","Torcas, Las",Ebro,7.0,2.0,2026-09-08,28.6
"TRANQUERA, LA","Tranquera, La",Ebro,82.0,37.0,2026-09-08,45.1
URRUNAGA,Urrunaga,Ebro,72.0,46.0,2026-09-08,63.9
VAL,"Val, El",Ebro,24.0,14.0,2026-09-08,58.3
VALLETA UTCHESA,,,,,,
YESA,Yesa,Ebro,447.0,121.0,2026-09-08,27.1
