corrección,ventana,capa_sonda,filtro,predictores,n,R2_log,RMSE,MAE,sesgo,MAE_log(×),AUC≥10,AUC≥20,clase_trófica_ok
L1C sin corregir,5x5,0-3,"sin brillo (B11<0,02)",NDCI + estacionalidad,211,0.746,26.07,15.05,-2.8,1.7,0.93,0.928,63%
L1C sin corregir,5x5,0-3,sin filtro,NDCI + estacionalidad,227,0.733,27.18,15.17,-3.45,1.7,0.926,0.898,64%
L1C sin corregir,5x5,0-3,"sin brillo (B11<0,02)",NDCI,211,0.71,30.33,17.02,-5.12,1.79,0.891,0.908,63%
L1C sin corregir,5x5,0-1.5,"sin brillo (B11<0,02)",NDCI + estacionalidad,211,0.71,45.8,21.49,-6.36,1.81,0.915,0.896,60%
L1C sin corregir,5x5,0-5,"sin brillo (B11<0,02)",NDCI + estacionalidad,211,0.706,19.07,12.05,-1.8,1.69,0.94,0.891,59%
L1C sin corregir,5x5,0-1.5,sin filtro,NDCI + estacionalidad,227,0.703,47.57,20.96,-6.67,1.78,0.924,0.884,59%
L1C sin corregir,3x3,0-3,"sin brillo (B11<0,02)",NDCI + estacionalidad,212,0.701,29.88,16.29,-3.95,1.75,0.91,0.905,60%
L1C sin corregir,5x5,0-3,sin brillo ni aerosoles,NDCI + estacionalidad,150,0.695,23.17,12.36,-2.22,1.74,0.902,0.931,57%
L1C sin corregir,5x5,0-1.5,sin brillo ni aerosoles,NDCI + estacionalidad,150,0.695,30.67,15.11,-3.57,1.77,0.903,0.907,56%
L2A Sen2Cor,3x3,0-1.5,sin brillo ni aerosoles,NDCI + estacionalidad,147,0.692,39.91,16.53,-2.61,1.72,0.939,0.919,73%
L1C sin corregir,5x5,0-5,sin filtro,NDCI + estacionalidad,227,0.692,19.19,12.0,-2.21,1.68,0.94,0.87,58%
L1C sin corregir,5x5,0-5,"sin brillo (B11<0,02)",NDCI,211,0.691,19.61,12.53,-3.53,1.72,0.915,0.872,62%
L1C sin corregir,5x5,0-3,sin filtro,NDCI,227,0.69,30.05,17.04,-5.45,1.8,0.891,0.88,62%
L2A Sen2Cor,3x3,0-3,sin brillo ni aerosoles,NDCI + estacionalidad,147,0.687,26.26,13.31,-2.47,1.7,0.917,0.937,65%
L1C sin corregir,5x5,0-1.5,"sin brillo (B11<0,02)",NDCI,211,0.686,54.14,23.11,-8.43,1.85,0.871,0.89,60%
L2A Sen2Cor,5x5,0-3,sin brillo ni aerosoles,NDCI + estacionalidad,148,0.686,30.38,14.2,-1.13,1.68,0.922,0.957,66%
L1C sin corregir,5x5,0-1.5,sin filtro,NDCI,227,0.678,52.54,22.25,-8.34,1.83,0.879,0.884,61%
L1C sin corregir,5x5,0-3,sin brillo ni aerosoles,NDCI,150,0.675,23.48,13.54,-3.68,1.8,0.876,0.907,61%
L2A Sen2Cor,1px,0-3,"sin brillo (B11<0,02)",NDCI + estacionalidad,208,0.672,44.06,21.04,-3.44,1.78,0.928,0.9,68%
L2A Sen2Cor,5x5,0-1.5,sin brillo ni aerosoles,NDCI + estacionalidad,148,0.672,46.37,19.08,-1.53,1.77,0.926,0.925,72%
L1C sin corregir,3x3,0-1.5,sin brillo ni aerosoles,NDCI + estacionalidad,150,0.671,31.26,15.39,-3.78,1.8,0.896,0.898,55%
