indice,rho_en_muestra
altura B5 sobre B3–B8A,0.43
altura B5 sobre B3–B8,0.427
B2−B5,-0.407
altura B5 sobre B3–B11,0.382
altura B5 sobre B3–B7,0.363
altura B6 sobre B2–B8A,0.355
altura B8 sobre B6–B11,-0.355
altura B5 sobre B2–B11,0.349
B3−B5,-0.349
altura B8A sobre B6–B11,-0.346
altura B7 sobre B2–B8A,0.341
altura B6 sobre B2–B8,0.324
altura B5 sobre B2–B8A,0.324
altura B8 sobre B7–B11,-0.322
B4−B5,-0.32
[B5-B4],0.32
B6−B8,0.315
altura B8A sobre B7–B11,-0.31
(1/B4−1/B2)·B8,-0.307
(1/B2−1/B4)·B8,0.307
