variable,indice,n,rho_spearman,p,R2_log,AUC ≥10,n ≥10,AUC ≥20,n ≥20,AUC ≥4.25,n ≥4.25,AUC ≥23.1,n ≥23.1
"Clorofila sonda 0–1,5 m (µg/L)",NDCI,195,0.758,1.1e-37,0.517,0.861,111.0,0.877,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)",PCI,195,0.758,1.1e-37,0.017,0.861,111.0,0.877,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)",MCI,195,0.666,2.1e-26,0.484,0.781,111.0,0.824,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)",3BDA,188,0.608,2.2e-20,0.011,0.745,110.0,0.842,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)",B5-B4,195,0.736,1.8e-34,0.55,0.823,111.0,0.871,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)",Turbidez(B4),195,-0.103,0.15,0.006,0.428,111.0,0.46,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)",SABI,195,-0.008,0.91,0.003,0.504,111.0,0.506,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)",FAI,195,0.181,0.011,0.03,0.6,111.0,0.604,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)",CI_cyano,195,-0.666,2.1e-26,0.484,0.219,111.0,0.176,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)",B3/B4,195,-0.223,0.0018,0.0,0.411,111.0,0.347,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)",B5/B3,195,0.618,6.9e-22,0.211,0.774,111.0,0.822,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)",NDVI,195,0.255,0.00032,0.088,0.604,111.0,0.691,68.0,,,,
"Clorofila sonda 0–1,5 m (µg/L)","Sombra 620 (B3,B4)",195,-0.081,0.26,0.024,0.538,111.0,0.465,68.0,,,,
Ficocianina sonda superficie,NDCI,112,0.132,0.16,0.013,,,,,0.572,28.0,0.677,14.0
Ficocianina sonda superficie,PCI,112,0.132,0.16,0.049,,,,,0.572,28.0,0.677,14.0
Ficocianina sonda superficie,MCI,112,0.095,0.32,0.055,,,,,0.554,28.0,0.657,14.0
Ficocianina sonda superficie,3BDA,99,0.401,3.9e-05,0.093,,,,,0.733,22.0,0.741,12.0
Ficocianina sonda superficie,B5-B4,112,0.32,0.00058,0.14,,,,,0.709,28.0,0.762,14.0
Ficocianina sonda superficie,Turbidez(B4),112,-0.182,0.055,0.006,,,,,0.395,28.0,0.434,14.0
Ficocianina sonda superficie,SABI,112,-0.166,0.079,0.012,,,,,0.453,28.0,0.244,14.0
Ficocianina sonda superficie,FAI,112,0.082,0.39,0.002,,,,,0.602,28.0,0.509,14.0
Ficocianina sonda superficie,CI_cyano,112,-0.095,0.32,0.055,,,,,0.446,28.0,0.343,14.0
Ficocianina sonda superficie,B3/B4,112,0.054,0.57,0.007,,,,,0.51,28.0,0.42,14.0
Ficocianina sonda superficie,B5/B3,112,0.073,0.44,0.03,,,,,0.584,28.0,0.684,14.0
Ficocianina sonda superficie,NDVI,112,-0.221,0.019,0.023,,,,,0.431,28.0,0.446,14.0
Ficocianina sonda superficie,"Sombra 620 (B3,B4)",112,0.086,0.37,0.0,,,,,0.554,28.0,0.609,14.0
